dataset_name,column_name,pandas_dtype,business_datatype,sample_values
products_dataset,product_description_lenght,float64,Decimal,"[287.0, 276.0, 250.0, 261.0, 402.0]"
products_dataset,product_photos_qty,float64,Decimal,"[1.0, 1.0, 1.0, 1.0, 4.0]"
products_dataset,product_weight_g,float64,Weight,"[225.0, 1000.0, 154.0, 371.0, 625.0]"
products_dataset,product_length_cm,float64,Dimension,"[16.0, 30.0, 18.0, 26.0, 20.0]"
products_dataset,product_height_cm,float64,Dimension,"[10.0, 18.0, 9.0, 4.0, 17.0]"
products_dataset,product_width_cm,float64,Dimension,"[14.0, 20.0, 15.0, 26.0, 13.0]"
sellers_dataset,seller_id,str,Primary Key,"['3442f8959a84dea7ee197c632cb2df15', 'd1b65fc7debc3361ea86b5f14c68d2e2', 'ce3ad9de960102d0677a81f5d0bb7b2d', 'c0f3eea2e14555b6faeea3dd58c1b1c3', '51a04a8a6bdcb23deccc82b0b80742cf']"
sellers_dataset,seller_zip_code_prefix,int64,Postal Code,"[13023, 13844, 20031, 4195, 12914]"
sellers_dataset,seller_city,str,City,"['campinas', 'mogi guacu', 'rio de janeiro', 'sao paulo', 'braganca paulista']"
sellers_dataset,seller_state,str,State,"['SP', 'SP', 'RJ', 'SP', 'SP']"
