Dataset,Column,Pandas Datatype,Business Datatype,Nullable,Missing %,Unique %,Primary Key Candidate,Sample Values,Description,Source File,Rows,Columns,Mean,Median,Mode
orders_dataset,order_delivered_customer_date,datetime64[us],Datetime,Yes,2.98,96.2,No,"[Timestamp('2017-10-10 21:25:13'), Timestamp('2018-08-07 15:27:45'), Timestamp('2018-08-17 18:06:29'), Timestamp('2017-12-02 00:28:42'), Timestamp('2018-02-16 18:17:02')]",,NexaCart_Data.xlsx,99441,8,,,2016-10-27 17:32:07
orders_dataset,order_estimated_delivery_date,datetime64[us],Datetime,No,0.0,0.46,No,"[Timestamp('2017-10-18 00:00:00'), Timestamp('2018-08-13 00:00:00'), Timestamp('2018-09-04 00:00:00'), Timestamp('2017-12-15 00:00:00'), Timestamp('2018-02-26 00:00:00')]",,NexaCart_Data.xlsx,99441,8,,,2017-12-20 00:00:00
product_category_name_translati,Column1,str,Primary Key,No,0.0,100.0,Yes,"['product_category_name', 'beleza_saude', 'informatica_acessorios', 'automotivo', 'cama_mesa_banho']",,NexaCart_Data.xlsx,72,2,,,agro_industria_e_comercio
product_category_name_translati,Column2,str,Primary Key,No,0.0,100.0,Yes,"['product_category_name_english', 'health_beauty', 'computers_accessories', 'auto', 'bed_bath_table']",,NexaCart_Data.xlsx,72,2,,,agro_industry_and_commerce
products_dataset,product_id,str,Primary Key,No,0.0,100.0,Yes,"['1e9e8ef04dbcff4541ed26657ea517e5', '3aa071139cb16b67ca9e5dea641aaa2f', '96bd76ec8810374ed1b65e291975717f', 'cef67bcfe19066a932b7673e239eb23d', '9dc1a7de274444849c219cff195d0b71']",,NexaCart_Data.xlsx,32951,9,,,00066f42aeeb9f3007548bb9d3f33c38
products_dataset,product_category_name,str,Category,Yes,1.85,0.22,No,"['perfumaria', 'artes', 'esporte_lazer', 'bebes', 'utilidades_domesticas']",,NexaCart_Data.xlsx,32951,9,,,cama_mesa_banho
products_dataset,product_name_lenght,float64,Decimal,Yes,1.85,0.2,No,"[40.0, 44.0, 46.0, 27.0, 37.0]",,NexaCart_Data.xlsx,32951,9,48.4769,51.0,
products_dataset,product_description_lenght,float64,Decimal,Yes,1.85,8.98,No,"[287.0, 276.0, 250.0, 261.0, 402.0]",,NexaCart_Data.xlsx,32951,9,771.4953,595.0,
products_dataset,product_photos_qty,float64,Decimal,Yes,1.85,0.06,No,"[1.0, 1.0, 1.0, 1.0, 4.0]",,NexaCart_Data.xlsx,32951,9,2.189,1.0,
products_dataset,product_weight_g,float64,Weight,Yes,0.01,6.69,No,"[225.0, 1000.0, 154.0, 371.0, 625.0]",,NexaCart_Data.xlsx,32951,9,2276.4725,700.0,
products_dataset,product_length_cm,float64,Dimension,Yes,0.01,0.3,No,"[16.0, 30.0, 18.0, 26.0, 20.0]",,NexaCart_Data.xlsx,32951,9,30.8151,25.0,
products_dataset,product_height_cm,float64,Dimension,Yes,0.01,0.31,No,"[10.0, 18.0, 9.0, 4.0, 17.0]",,NexaCart_Data.xlsx,32951,9,16.9377,13.0,
products_dataset,product_width_cm,float64,Dimension,Yes,0.01,0.29,No,"[14.0, 20.0, 15.0, 26.0, 13.0]",,NexaCart_Data.xlsx,32951,9,23.1967,20.0,
sellers_dataset,seller_id,str,Primary Key,No,0.0,100.0,Yes,"['3442f8959a84dea7ee197c632cb2df15', 'd1b65fc7debc3361ea86b5f14c68d2e2', 'ce3ad9de960102d0677a81f5d0bb7b2d', 'c0f3eea2e14555b6faeea3dd58c1b1c3', '51a04a8a6bdcb23deccc82b0b80742cf']",,NexaCart_Data.xlsx,3095,4,,,0015a82c2db000af6aaaf3ae2ecb0532
sellers_dataset,seller_zip_code_prefix,int64,Postal Code,No,0.0,72.57,Yes,"[13023, 13844, 20031, 4195, 12914]",,NexaCart_Data.xlsx,3095,4,32291.0595,14940.0,
sellers_dataset,seller_city,str,City,No,0.0,19.74,No,"['campinas', 'mogi guacu', 'rio de janeiro', 'sao paulo', 'braganca paulista']",,NexaCart_Data.xlsx,3095,4,,,sao paulo
sellers_dataset,seller_state,str,State,No,0.0,0.74,No,"['SP', 'SP', 'RJ', 'SP', 'SP']",,NexaCart_Data.xlsx,3095,4,,,SP
